artist,title,year,country
Queen,Bohemian Rhapsody,1975,US
Michael Jackson,Billie Jean,1982,US
The Beatles,Hey Jude,1968,US
The Beatles,Here Comes the Sun,1969,US
Whitney Houston,I Will Always Love You,1992,US
Mariah Carey,All I Want for Christmas Is You,1994,US
Elvis Presley,Hound Dog,1956,US
Chuck Berry,Johnny B. Goode,1958,US
Bee Gees,Stayin' Alive,1977,US
ABBA,Dancing Queen,1976,US
Eagles,Hotel California,1977,US
Led Zeppelin,Stairway to Heaven,1971,US
John Lennon,Imagine,1971,US
Nirvana,Smells Like Teen Spirit,1991,US
a-ha,Take On Me,1985,US
Toto,Africa,1982,US
Rick Astley,Never Gonna Give You Up,1987,US
Beyoncé,Crazy in Love,2003,US
Adele,Rolling in the Deep,2010,US
Mark Ronson,Uptown Funk,2014,US
Ed Sheeran,Shape of You,2017,US
Luis Fonsi,Despacito,2017,US
Billie Eilish,bad guy,2019,US
The Weeknd,Blinding Lights,2019,US
Taylor Swift,Shake It Off,2014,US
Daft Punk,Get Lucky,2013,US
Harry Styles,As It Was,2022,US
Frank Sinatra,Fly Me to the Moon,1964,US
Nikolai Rimsky-Korsakov,Flight of the Bumblebee,1900,US
Vienna Philharmonic,Symphony No. 5 in C Minor,1808,US
