artist,title,year,country
YOASOBI,アイドル,2023,JP
YOASOBI,夜に駆ける,2019,JP
Creepy Nuts,Bling-Bang-Bang-Born,2024,JP
Mrs. GREEN APPLE,ライラック,2024,JP
Mrs. GREEN APPLE,ケセラセラ,2023,JP
Official髭男dism,Pretender,2019,JP
Official髭男dism,Subtitle,2022,JP
King Gnu,白日,2019,JP
米津玄師,Lemon,2018,JP
米津玄師,KICK BACK,2022,JP
Ado,うっせぇわ,2020,JP
Ado,新時代,2022,JP
LiSA,紅蓮華,2019,JP
Vaundy,怪獣の花唄,2020,JP
藤井 風,死ぬのがいいわ,2020,JP
Aimer,残響散歌,2022,JP
あいみょん,マリーゴールド,2018,JP
優里,ドライフラワー,2020,JP
tuki.,晩餐歌,2023,JP
Number_i,GOAT,2024,JP
宇多田ヒカル,First Love,1999,JP
竹内まりや,プラスティック・ラブ,1984,JP
坂本九,上を向いて歩こう,1961,JP
Da-iCE,スターマイン,2021,JP
back number,高嶺の花子さん,2013,JP
星野源,恋,2016,JP
ずっと真夜中でいいのに。,秒針を噛む,2018,JP
