artist,title,year,country
BTS,Dynamite,2020,KR
BTS,Butter,2021,KR
PSY,Gangnam Style,2012,KR
BLACKPINK,DDU-DU DDU-DU,2018,KR
BLACKPINK,How You Like That,2020,KR
ROSÉ,APT.,2024,KR
NewJeans,Hype Boy,2022,KR
NewJeans,Ditto,2022,KR
NewJeans,Super Shy,2023,KR
IU,Good Day,2010,KR
IU,Through the Night,2017,KR
BIGBANG,Fantastic Baby,2012,KR
BIGBANG,Lies,2007,KR
Wonder Girls,Tell Me,2007,KR
Girls' Generation,Gee,2009,KR
aespa,Supernova,2024,KR
IVE,LOVE DIVE,2022,KR
(G)I-DLE,Queencard,2023,KR
Jung Kook,Seven,2023,KR
Jimin,Like Crazy,2023,KR
HUNTR/X,Golden,2025,KR
YOUNHA,Event Horizon,2022,KR
Busker Busker,Cherry Blossom Ending,2012,KR
SEVENTEEN,Super,2023,KR
Stray Kids,S-Class,2023,KR
Seo Taiji and Boys,I Know,1992,KR
Kim Kwang Seok,서른 즈음에,1994,KR
