id,love,flybuzz,danger,startle,arousal,p_love,p_flybuzz,p_danger,p_startle,p_arousal
global_00,23.4,79.1,23.3,96.4,100.0,100.0,100.0,100.0,96.4,100.0
global_01,21.3,54.1,19.7,89.3,69.0,97.6,76.2,91.7,89.3,69.0
global_02,14.4,52.9,15.3,35.7,38.1,34.5,69.0,50.0,35.7,38.1
global_03,20.0,54.0,20.5,67.9,47.6,88.1,75.0,94.0,67.9,47.6
global_04,-3.7,11.6,-6.4,4.8,1.2,1.2,1.2,1.2,4.8,1.2
global_05,14.5,46.9,14.4,41.7,36.9,35.7,35.7,34.5,41.7,36.9
global_06,12.4,45.4,14.1,8.3,39.3,19.0,26.2,31.0,8.3,39.3
global_07,15.7,51.4,14.7,54.8,67.9,53.6,61.9,38.1,54.8,67.9
global_08,13.9,57.1,14.9,39.3,63.7,29.8,86.9,40.5,39.3,64.3
global_09,4.5,25.1,4.6,1.2,2.4,2.4,2.4,2.4,1.2,2.4
global_10,17.4,57.8,18.1,63.1,85.1,67.9,88.1,83.3,63.1,85.7
global_11,15.6,56.7,16.5,42.9,53.0,50.0,85.7,67.9,42.9,53.6
global_12,15.7,68.7,17.5,50.0,78.6,52.4,98.8,77.4,50.0,78.6
global_13,17.1,46.4,16.0,64.3,20.2,66.7,31.0,60.7,64.3,20.2
global_14,12.2,43.3,12.7,13.1,14.9,16.7,23.8,17.9,13.1,15.5
global_15,17.8,54.7,16.8,82.1,70.2,75.0,78.6,71.4,82.1,70.2
global_16,12.9,53.7,14.6,31.5,66.7,21.4,71.4,36.9,32.1,66.7
global_17,15.7,46.8,12.8,84.5,31.0,51.2,33.3,19.0,84.5,31.0
global_18,21.0,58.2,21.0,91.7,91.7,96.4,91.7,97.6,91.7,91.7
global_19,16.2,61.8,17.4,65.5,89.3,59.5,95.2,76.2,65.5,89.3
global_20,14.1,55.1,15.2,20.2,57.1,33.3,81.0,48.8,20.2,57.1
global_21,16.2,49.1,15.2,59.5,65.5,58.3,46.4,47.6,59.5,65.5
global_22,20.9,50.7,16.7,100.0,96.4,95.2,56.0,69.0,100.0,96.4
global_23,17.8,49.7,17.1,69.0,58.3,76.2,50.0,73.8,69.0,58.3
global_24,12.3,48.3,12.5,31.5,45.2,17.9,39.3,16.7,32.1,45.2
global_25,18.8,45.2,15.5,94.0,51.2,79.8,25.0,54.8,94.0,51.2
global_26,16.7,46.6,16.3,51.2,42.9,64.3,32.1,64.3,51.2,42.9
global_27,15.5,51.0,14.4,60.7,35.7,47.6,57.1,35.7,60.7,35.7
global_28,16.2,56.0,17.9,19.0,61.9,60.7,83.3,79.8,19.0,61.9
global_29,4.7,48.4,5.5,3.6,9.5,3.6,40.5,4.8,3.6,9.5
japan_00,16.2,51.1,16.2,58.3,73.2,61.9,58.3,63.1,58.3,73.8
japan_01,20.1,52.5,19.9,75.0,63.7,89.3,67.9,92.9,75.0,64.3
japan_02,15.8,51.2,15.4,70.2,56.0,56.0,60.7,51.2,70.2,56.0
japan_03,17.5,39.9,15.5,57.1,13.1,71.4,15.5,53.6,57.1,13.1
japan_04,14.9,54.4,15.4,45.2,53.0,41.7,77.4,52.4,45.2,53.6
japan_05,11.5,48.5,13.8,2.4,25.0,11.9,41.7,28.6,2.4,25.0
japan_06,20.1,57.8,19.4,92.9,79.8,90.5,90.5,89.3,92.9,79.8
japan_07,12.6,40.7,11.4,22.6,17.9,20.2,16.7,14.3,22.6,17.9
japan_08,11.9,33.0,10.9,11.9,8.3,14.3,6.0,11.9,11.9,8.3
japan_09,15.4,52.2,16.8,29.8,40.5,46.4,65.5,70.2,29.8,40.5
japan_10,13.3,45.5,12.9,25.0,29.2,22.6,27.4,21.4,25.0,29.8
japan_11,14.8,46.9,15.8,17.9,21.4,40.5,34.5,58.3,17.9,21.4
japan_12,14.1,41.4,13.0,28.6,32.1,31.0,17.9,22.6,28.6,32.1
japan_13,15.5,39.5,16.0,9.5,6.0,48.8,13.1,61.9,9.5,6.0
japan_14,13.4,48.7,15.1,14.3,27.4,23.8,44.0,46.4,14.3,27.4
japan_15,10.0,31.5,9.2,10.7,3.6,10.7,4.8,10.7,10.7,3.6
japan_16,12.1,34.6,11.3,7.1,4.8,15.5,7.1,13.1,7.1,4.8
japan_17,8.4,31.0,6.3,21.4,7.1,7.1,3.6,6.0,21.4,7.1
japan_18,13.8,41.9,12.4,52.4,26.2,27.4,21.4,15.5,52.4,26.2
japan_19,19.8,51.2,20.6,47.6,59.5,86.9,59.5,95.2,47.6,59.5
japan_20,7.8,35.6,5.4,27.4,19.0,6.0,8.3,3.6,27.4,19.0
japan_21,22.1,58.3,21.8,98.8,60.7,98.8,92.9,98.8,98.8,60.7
japan_22,16.7,45.8,14.3,61.9,50.0,65.5,29.8,32.1,61.9,50.0
japan_23,13.9,47.0,13.3,36.9,54.8,28.6,36.9,23.8,36.9,54.8
japan_24,14.5,39.6,13.4,33.9,14.9,36.9,14.3,26.2,34.5,15.5
japan_25,19.5,49.2,19.0,73.8,34.5,84.5,47.6,88.1,73.8,34.5
japan_26,17.6,41.5,15.6,53.6,23.2,72.6,20.2,56.0,53.6,23.8
korea_00,17.4,50.4,15.8,90.5,92.9,70.2,54.8,57.1,90.5,92.9
korea_01,20.6,61.9,20.9,81.0,97.6,91.7,96.4,96.4,81.0,97.6
korea_02,19.6,53.6,18.7,78.6,98.8,85.7,70.2,85.7,78.6,98.8
korea_03,8.9,36.9,7.4,23.8,29.2,8.3,9.5,7.1,23.8,29.8
korea_04,13.5,57.8,13.9,46.4,82.1,25.0,89.3,29.8,46.4,82.1
korea_05,13.7,56.4,15.0,48.8,85.1,26.2,84.5,42.9,48.8,85.7
