id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
global_00,global,Queen,Bohemian Rhapsody,0.577315376721412,1034,0.7509803921568627,26.166666666666668,198.14799999999997,143.8125
global_01,global,Michael Jackson,Billie Jean,0.5779126563460326,736,0.4549019607843137,15.116666666666667,192.944,129.3090909090909
global_02,global,The Beatles,Hey Jude,0.5768376193875946,739,0.25882352941176473,7.45,234.10666666666665,134.5784090909091
global_03,global,The Beatles,Here Comes the Sun,0.5995667744905079,749,0.45098039215686275,14.466666666666667,236.48533333333333,155.69507575757578
global_04,global,Whitney Houston,I Will Always Love You,0.46736105353479496,624,0.0196078431372549,0.5333333333333333,215.20466666666667,55.68977272727273
global_05,global,Mariah Carey,All I Want for Christmas Is You,0.5690074593428434,752,0.1568627450980392,4.283333333333333,232.12066666666666,109.17462121212124
global_06,global,Elvis Presley,Hound Dog,0.5552898882313467,716,0.13529411764705881,3.65,245.65666666666664,105.88068181818181
global_07,global,Chuck Berry,Johnny B. Goode,0.5612241974379795,750,0.17450980392156865,5.433333333333334,245.56133333333332,104.41666666666669
global_08,global,Bee Gees,Stayin' Alive,0.5785610251041315,753,0.3313725490196079,9.283333333333333,232.672,128.33712121212122
global_09,global,ABBA,Dancing Queen,0.5158336389707346,650,0.01568627450980392,0.3,247.43066666666667,86.10681818181818
global_10,global,Eagles,Hotel California,0.5783113671851636,749,0.32941176470588235,8.533333333333333,234.794,128.49659090909088
global_11,global,Led Zeppelin,Stairway to Heaven,0.579776896012107,822,0.24901960784313726,7.066666666666666,239.17333333333332,138.72083333333333
global_12,global,John Lennon,Imagine,0.5831891087347686,887,0.4117647058823529,11.966666666666667,229.30599999999998,140.31439393939394
global_13,global,Nirvana,Smells Like Teen Spirit,0.5853772092332464,722,0.28431372549019607,6.9,241.35399999999998,151.9746212121212
global_14,global,a-ha,Take On Me,0.568908380675084,720,0.1392156862745098,3.433333333333333,241.79,116.875
global_15,global,Toto,Africa,0.6147527372386545,736,0.396078431372549,13.65,220.07533333333333,140.45454545454547
global_16,global,Rick Astley,Never Gonna Give You Up,0.5631399945355127,748,0.19999999999999998,6.216666666666667,238.16933333333336,110.0189393939394
global_17,global,Beyoncé,Crazy in Love,0.5788220733278092,737,0.40392156862745093,13.35,203.822,129.5715909090909
global_18,global,Adele,Rolling in the Deep,0.5947382218843438,814,0.6352941176470589,23.3,208.53133333333335,152.18030303030304
global_19,global,Mark Ronson,Uptown Funk,0.561577915161025,811,0.4392156862745098,14.933333333333334,187.90999999999997,98.16704545454546
global_20,global,Ed Sheeran,Shape of You,0.561342162878251,733,0.18823529411764706,5.583333333333333,225.39399999999998,107.53181818181817
global_21,global,Luis Fonsi,Despacito,0.5659247574385705,744,0.2431372549019608,7.783333333333333,224.3673333333333,110.52045454545454
global_22,global,Billie Eilish,bad guy,0.5802439938390727,815,1.0235294117647058,38.21666666666667,116.47733333333333,120.69886363636364
global_23,global,The Weeknd,Blinding Lights,0.5852104193313267,744,0.31764705882352945,9.716666666666667,238.61666666666667,140.74848484848485
global_24,global,Taylor Swift,Shake It Off,0.5513897727199871,746,0.14901960784313725,4.266666666666667,237.61466666666666,98.93181818181819
global_25,global,Daft Punk,Get Lucky,0.5835076149025433,725,0.37450980392156863,12.266666666666667,218.29733333333334,126.3409090909091
global_26,global,Harry Styles,As It Was,0.5733341987736745,735,0.22156862745098038,5.233333333333333,244.36333333333334,130.10492424242423
global_27,global,Frank Sinatra,Fly Me to the Moon,0.5705785153783249,754,0.303921568627451,11.916666666666666,207.63133333333334,123.4969696969697
global_28,global,Nikolai Rimsky-Korsakov,Flight of the Bumblebee,0.5733765124683251,808,0.3313725490196079,8.75,236.42333333333335,121.50833333333334
global_29,global,Vienna Philharmonic,Symphony No. 5 in C Minor,0.5348039353937455,819,0.17450980392156865,6.066666666666666,221.76799999999994,65.97348484848486
japan_00,japan,YOASOBI,アイドル,0.5689155002514273,743,0.19215686274509802,6.266666666666667,238.71533333333332,113.90075757575757
japan_01,japan,YOASOBI,夜に駆ける,0.5992895135955997,748,0.35294117647058826,10.516666666666667,240.17999999999995,153.54090909090908
japan_02,japan,Creepy Nuts,Bling-Bang-Bang-Born,0.5798171365223714,742,0.33333333333333337,12.2,217.48933333333332,117.51401515151515
japan_03,japan,Mrs. GREEN APPLE,ライラック,0.5786079403973103,714,0.20196078431372547,4.816666666666666,241.01,145.13939393939393
japan_04,japan,Mrs. GREEN APPLE,ケセラセラ,0.5681990281350663,862,0.3215686274509804,10.616666666666667,208.25199999999998,109.4121212121212
japan_05,japan,Official髭男dism,Pretender,0.5724276873076771,751,0.19019607843137254,4.7,248.52466666666666,123.42613636363636
japan_06,japan,Official髭男dism,Subtitle,0.5866107780194967,853,0.5745098039215687,19.416666666666668,197.47666666666663,140.8367424242424
japan_07,japan,King Gnu,白日,0.5574631186798173,716,0.13725490196078433,3.55,233.90466666666663,114.81477272727274
japan_08,japan,米津玄師,Lemon,0.5484765078177443,687,0.06862745098039216,1.4833333333333334,245.78466666666668,115.06969696969696
japan_09,japan,米津玄師,KICK BACK,0.5775978072353362,751,0.27647058823529413,8.066666666666666,240.39133333333336,130.72689393939393
japan_10,japan,Ado,うっせぇわ,0.565645506173341,717,0.15098039215686276,3.5833333333333335,243.252,126.98257575757576
japan_11,japan,Ado,新時代,0.5739332614913267,729,0.18823529411764706,4.4,245.56666666666663,133.09545454545454
japan_12,japan,LiSA,紅蓮華,0.557031598629896,729,0.14705882352941177,3.5833333333333335,241.37000000000003,109.48636363636363
japan_13,japan,Vaundy,怪獣の花唄,0.5825814332265956,716,0.19999999999999998,3.3666666666666667,247.956,149.4867424242424
japan_14,japan,藤井 風,死ぬのがいいわ,0.576630359341449,727,0.17058823529411765,5.116666666666666,238.688,133.65984848484848
japan_15,japan,Aimer,残響散歌,0.5454966733499008,672,0.049019607843137254,0.9666666666666667,245.11666666666667,113.46780303030305
japan_16,japan,あいみょん,マリーゴールド,0.5576548195754244,697,0.07254901960784314,1.2333333333333334,248.5513333333333,123.18674242424244
japan_17,japan,優里,ドライフラワー,0.532359170511159,672,0.06274509803921569,1.1166666666666667,242.24733333333336,96.21325757575757
