id,chart,artist,title,fly_score,mad,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz,score_s1,score_s2,score_s3,score_s4,overall_rank,chart_rank
global_00,global,Queen,Bohemian Rhapsody,23.43,2.9,825.0,0.54,25.15,127.39,86.74,24.0,22.86,18.2,58.92,1.0,1.0
global_01,global,Michael Jackson,Billie Jean,21.32,3.74,731.0,0.46,22.22,114.57,78.06,19.73,29.32,22.9,15.43,3.0,2.0
global_02,global,The Beatles,Hey Jude,14.37,0.19,702.75,0.24,11.14,172.01,75.33,14.48,14.79,14.1,14.26,56.0,21.0
global_03,global,The Beatles,Here Comes the Sun,20.03,0.55,716.0,0.36,16.37,172.36,94.31,21.72,20.27,19.78,19.18,11.0,5.0
global_04,global,Whitney Houston,I Will Always Love You,-3.68,0.64,606.75,0.05,5.65,150.91,31.19,-3.16,-4.2,-2.91,-4.43,84.0,30.0
global_05,global,Mariah Carey,All I Want for Christmas Is You,14.46,0.15,702.25,0.22,12.12,167.02,68.14,14.41,14.71,14.51,14.2,55.0,20.0
global_06,global,Elvis Presley,Hound Dog,12.4,0.4,704.0,0.13,6.29,205.55,61.57,11.66,13.35,12.33,12.47,69.0,25.0
global_07,global,Chuck Berry,Johnny B. Goode,15.72,0.12,730.5,0.37,14.46,164.57,59.96,15.85,15.83,14.79,15.61,40.0,15.0
global_08,global,Bee Gees,Stayin' Alive,13.95,0.1,728.5,0.27,11.83,161.35,68.35,15.8,13.91,13.98,13.78,60.0,23.0
global_09,global,ABBA,Dancing Queen,4.54,0.47,632.75,0.03,1.05,203.25,50.18,3.9,7.95,4.85,4.23,83.0,29.0
global_10,global,Eagles,Hotel California,17.36,0.28,744.25,0.35,15.57,162.21,75.88,17.66,17.63,17.09,16.87,28.0,9.0
global_11,global,Led Zeppelin,Stairway to Heaven,15.62,0.22,719.0,0.26,12.17,167.14,80.68,15.32,15.49,15.76,18.16,43.0,18.0
global_12,global,John Lennon,Imagine,15.71,0.33,739.75,0.33,13.6,157.11,79.91,18.22,15.32,15.44,15.98,41.0,16.0
global_13,global,Nirvana,Smells Like Teen Spirit,17.08,0.37,687.5,0.34,15.66,167.09,89.36,16.46,16.97,17.19,18.74,29.0,10.0
global_14,global,a-ha,Take On Me,12.24,0.17,682.75,0.16,7.68,185.94,66.02,12.09,12.4,12.01,12.43,71.0,27.0
global_15,global,Toto,Africa,17.76,0.4,731.25,0.43,20.02,138.76,81.99,22.05,17.78,16.99,17.74,22.0,8.0
global_16,global,Rick Astley,Never Gonna Give You Up,12.86,0.17,729.25,0.26,11.01,172.32,61.75,13.21,12.84,12.89,12.55,67.0,24.0
global_17,global,Beyoncé,Crazy in Love,15.67,0.33,696.25,0.43,21.04,128.31,72.5,15.7,17.18,15.65,15.04,42.0,17.0
global_18,global,Adele,Rolling in the Deep,21.04,0.04,750.75,0.54,22.49,145.3,96.01,24.11,21.06,21.01,20.98,4.0,3.0
global_19,global,Mark Ronson,Uptown Funk,16.18,0.4,749.5,0.44,15.91,131.66,65.34,16.36,16.0,15.57,19.24,35.0,13.0
global_20,global,Ed Sheeran,Shape of You,14.14,0.11,723.75,0.23,9.59,159.19,66.32,13.75,14.26,14.04,14.25,57.0,22.0
global_21,global,Luis Fonsi,Despacito,16.16,0.36,729.0,0.36,15.1,159.91,66.07,15.51,16.22,22.93,16.09,36.0,14.0
global_22,global,Billie Eilish,bad guy,20.95,0.19,762.25,0.71,29.42,83.46,83.29,20.88,21.26,21.02,17.71,5.0,4.0
global_23,global,The Weeknd,Blinding Lights,17.83,0.27,724.75,0.39,16.49,169.29,77.13,18.36,17.86,17.81,17.22,21.0,7.0
global_24,global,Taylor Swift,Shake It Off,12.35,0.4,711.75,0.26,11.01,169.18,54.71,12.65,12.05,11.84,13.01,70.0,26.0
global_25,global,Daft Punk,Get Lucky,18.75,0.24,718.25,0.51,23.18,140.1,77.2,18.53,17.47,18.98,19.02,18.0,6.0
global_26,global,Harry Styles,As It Was,16.67,0.24,707.75,0.3,14.04,174.14,73.42,17.28,16.42,16.45,16.89,31.0,11.0
global_27,global,Frank Sinatra,Fly Me to the Moon,15.49,0.67,701.5,0.26,15.29,141.89,72.82,13.81,14.89,16.24,16.09,45.0,19.0
global_28,global,Nikolai Rimsky-Korsakov,Flight of the Bumblebee,16.2,0.5,727.75,0.23,9.39,172.02,72.26,15.84,16.56,15.37,16.83,34.0,12.0
