id,chart,artist,title,year,country,found,itunes_artist,itunes_track,itunes_url,audio
global_00,global,Queen,Bohemian Rhapsody,1975,US,True,Queen,Bohemian Rhapsody,https://music.apple.com/us/album/bohemian-rhapsody/1440650428?i=1440650711&uo=4,audio\global\00.m4a
global_01,global,Michael Jackson,Billie Jean,1982,US,True,Michael Jackson,Billie Jean,https://music.apple.com/us/album/billie-jean/269572838?i=269573364&uo=4,audio\global\01.m4a
global_02,global,The Beatles,Hey Jude,1968,US,True,The Beatles,Hey Jude,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,audio\global\02.m4a
global_03,global,The Beatles,Here Comes the Sun,1969,US,True,The Beatles,Here Comes the Sun,https://music.apple.com/us/album/here-comes-the-sun/1441164426?i=1441164589&uo=4,audio\global\03.m4a
global_04,global,Whitney Houston,I Will Always Love You,1992,US,True,Whitney Houston,I Will Always Love You,https://music.apple.com/us/album/i-will-always-love-you/388151892?i=388151901&uo=4,audio\global\04.m4a
global_05,global,Mariah Carey,All I Want for Christmas Is You,1994,US,True,Mariah Carey,All I Want for Christmas Is You,https://music.apple.com/us/album/all-i-want-for-christmas-is-you/585972750?i=585972803&uo=4,audio\global\05.m4a
global_06,global,Elvis Presley,Hound Dog,1956,US,True,Elvis Presley,Hound Dog,https://music.apple.com/us/album/hound-dog/388127843?i=388127880&uo=4,audio\global\06.m4a
global_07,global,Chuck Berry,Johnny B. Goode,1958,US,True,Chuck Berry,Johnny B. Goode,https://music.apple.com/us/album/johnny-b-goode/1452975975?i=1452976390&uo=4,audio\global\07.m4a
global_08,global,Bee Gees,Stayin' Alive,1977,US,True,Bee Gees,Stayin' Alive,https://music.apple.com/us/album/stayin-alive/1440899890?i=1440900114&uo=4,audio\global\08.m4a
global_09,global,ABBA,Dancing Queen,1976,US,True,ABBA,Dancing Queen,https://music.apple.com/us/album/dancing-queen/1422648512?i=1422648513&uo=4,audio\global\09.m4a
global_10,global,Eagles,Hotel California,1977,US,True,Eagles,Hotel California,https://music.apple.com/us/album/hotel-california/635770200?i=635770202&uo=4,audio\global\10.m4a
global_11,global,Led Zeppelin,Stairway to Heaven,1971,US,True,Led Zeppelin,Stairway to Heaven,https://music.apple.com/us/album/stairway-to-heaven/580708175?i=580708180&uo=4,audio\global\11.m4a
global_12,global,John Lennon,Imagine,1971,US,True,John Lennon,Imagine,https://music.apple.com/us/album/imagine/1440853752?i=1440853776&uo=4,audio\global\12.m4a
global_13,global,Nirvana,Smells Like Teen Spirit,1991,US,True,Nirvana,Smells Like Teen Spirit,https://music.apple.com/us/album/smells-like-teen-spirit/1440783617?i=1440783625&uo=4,audio\global\13.m4a
global_14,global,a-ha,Take On Me,1985,US,True,a-ha,Take On Me,https://music.apple.com/us/album/take-on-me/380907762?i=380907765&uo=4,audio\global\14.m4a
global_15,global,Toto,Africa,1982,US,True,Toto,Africa,https://music.apple.com/us/album/africa/185716551?i=185717604&uo=4,audio\global\15.m4a
global_16,global,Rick Astley,Never Gonna Give You Up,1987,US,True,Rick Astley,Never Gonna Give You Up,https://music.apple.com/us/album/never-gonna-give-you-up/1559885420?i=1559885421&uo=4,audio\global\16.m4a
global_17,global,Beyoncé,Crazy in Love,2003,US,True,Beyoncé,Crazy in Love,https://music.apple.com/us/album/crazy-in-love/1472020056?i=1472021081&uo=4,audio\global\17.m4a
global_18,global,Adele,Rolling in the Deep,2010,US,True,Adele,Rolling in the Deep,https://music.apple.com/us/album/rolling-in-the-deep/1544491232?i=1544491233&uo=4,audio\global\18.m4a
global_19,global,Mark Ronson,Uptown Funk,2014,US,True,Mark Ronson,Uptown Funk (feat. Bruno Mars),https://music.apple.com/us/album/uptown-funk-feat-bruno-mars/943946661?i=943946671&uo=4,audio\global\19.m4a
global_20,global,Ed Sheeran,Shape of You,2017,US,True,Ed Sheeran,Shape of You,https://music.apple.com/us/album/shape-of-you/1193701079?i=1193701392&uo=4,audio\global\20.m4a
global_21,global,Luis Fonsi,Despacito,2017,US,True,Luis Fonsi & Daddy Yankee,Despacito,https://music.apple.com/us/album/despacito/1447401519?i=1447401620&uo=4,audio\global\21.m4a
global_22,global,Billie Eilish,bad guy,2019,US,True,Billie Eilish,bad guy,https://music.apple.com/us/album/bad-guy/1450695723?i=1450695739&uo=4,audio\global\22.m4a
global_23,global,The Weeknd,Blinding Lights,2019,US,True,The Weeknd,Blinding Lights,https://music.apple.com/us/album/blinding-lights/1505683705?i=1505683988&uo=4,audio\global\23.m4a
global_24,global,Taylor Swift,Shake It Off,2014,US,True,Taylor Swift,Shake It Off,https://music.apple.com/us/album/shake-it-off/1440933512?i=1440933651&uo=4,audio\global\24.m4a
